,Length,Width,Thickness,Area,Perimeter,Roundness,Solidity,Compactness,AspectRatio,Eccentricity,Extent,Convex hull,Type
39,325.012,0,120.4359,25934.5,1027.6539,0.3126,0.8079,3.2405,0,0,0.5261,32100,MAMRA
40,0,172.1504,79.7598,10510.5,595.061,0,0.8679,2.681,0,0,0.6082,12110.5,MAMRA
41,0,168.2436,83.5423,10803,548.4752,0,0.9058,2.2159,0,0,0.7098,11926.5,MAMRA
42,0,163.4246,84.0273,10535,733.8133,0,0.8621,4.0675,0,0,0.6651,12220.5,MAMRA
43,0,167.5878,77.6466,9590,737.529,0,0.8184,4.5137,0,0,0.6228,11718,MAMRA
44,0,217.3024,104.1038,17459,894.4407,0,0.8746,3.6465,0,0,0.6544,19962.5,MAMRA
45,0,194.8553,106.1169,15273,962.725,0,0.8406,4.8291,0,0,0.7198,18168.5,MAMRA
46,0,205.0235,98.1996,15767,970.926,0,0.8648,4.7579,0,0,0.6615,18233,MAMRA
47,0,208.3567,99.9522,16096.5,707.0021,0,0.9138,2.4712,0,0,0.7008,17615,MAMRA
48,0,198.5538,124.4474,19179,561.3869,0,0.9757,1.3076,0,0,0.7377,19656,MAMRA
49,0,193.0083,121.6277,18161,537.2447,0,0.9807,1.2647,0,0,0.7392,18518.5,MAMRA
50,0,198.621,125.9653,19398,587.529,0,0.9745,1.4161,0,0,0.7311,19905.5,MAMRA
51,0,195.936,125.9674,19063.5,551.9726,0,0.9774,1.2718,0,0,0.7313,19503.5,MAMRA
52,0,177.916,106.1198,13863.5,517.8894,0,0.9296,1.5395,0,0,0.6623,14914,MAMRA
53,0,179.516,105.6177,14113,511.3036,0,0.9295,1.4741,0,0,0.6893,15184,MAMRA
54,0,179.8979,107.631,14367.5,544.7178,0,0.9294,1.6434,0,0,0.6879,15459.5,MAMRA
55,0,179.5422,103.0133,13617,499.1615,0,0.9267,1.4561,0,0,0.6945,14694,MAMRA
56,280.3873,0,101.4992,21644.5,702.0315,0.3505,0.9715,1.812,0,0,0.795,22280.5,MAMRA
57,286.4103,0,103.4169,22275,690.6173,0.3457,0.9732,1.7039,0,0,0.7933,22889.5,MAMRA
58,294.1406,0,104.8981,23047,698.4752,0.3392,0.974,1.6845,0,0,0.7935,23662.5,MAMRA
59,285.8231,0,102.6342,22004,684.8183,0.3429,0.9723,1.6961,0,0,0.7944,22630.5,MAMRA
60,179.586,0,68.9604,9420.5,454.6346,0.3719,0.9443,1.746,0,0,0.7211,9976.5,MAMRA
61,182.8028,0,69.528,9762,463.5635,0.3719,0.9373,1.7517,0,0,0.7113,10415,MAMRA
62,180.6847,0,72.8858,9958,473.0782,0.3884,0.9405,1.7885,0,0,0.7414,10588,MAMRA
63,181.4806,0,69.1023,9584.5,483.9483,0.3705,0.9386,1.9445,0,0,0.6963,10211.5,MAMRA
64,253.0894,142.7684,0,27653.5,734.5412,0.5497,0.9743,1.5526,1.7727,0.8257,0.6689,28381.5,MAMRA
65,242.4203,137.2589,0,25381,740.4407,0.5499,0.971,1.7189,1.7662,0.8243,0.6688,26138,MAMRA
66,244.595,134.8792,0,25200.5,707.7128,0.5363,0.976,1.5816,1.8134,0.8342,0.6803,25820,MAMRA
67,243.7374,137.2974,0,25669.5,682.3991,0.5502,0.976,1.4436,1.7753,0.8263,0.6873,26300,MAMRA
68,184.912,109.5426,0,15373,594.5584,0.5725,0.9571,1.8299,1.688,0.8056,0.6728,16062,MAMRA
69,185.7061,112.5821,0,15863,529.4457,0.5857,0.9716,1.4062,1.6495,0.7953,0.6894,16326,MAMRA
70,187.3935,111.2894,0,15948.5,527.3452,0.5783,0.9765,1.3876,1.6838,0.8046,0.6873,16333,MAMRA
71,186.1905,113.0348,0,16009,524.4163,0.588,0.9808,1.367,1.6472,0.7946,0.6922,16323,MAMRA
72,241.4458,146.1658,0,27464,1100.2052,0.5998,0.9033,3.5073,1.6519,0.7959,0.6373,30404.5,MAMRA
73,247.1915,141.6611,0,26367,1105.0925,0.5494,0.8851,3.6858,1.7449,0.8195,0.5912,29788.5,MAMRA
74,241.2118,146.1464,0,27326.5,1059.6783,0.598,0.9092,3.27,1.6505,0.7956,0.6463,30056,MAMRA
75,243.9072,144.3564,0,27178.5,1054.3646,0.5817,0.9092,3.255,1.6896,0.806,0.6518,29893.5,MAMRA
76,271.4185,159.988,0,33085,867.9554,0.5718,0.9341,1.812,1.6965,0.8078,0.7278,35420.5,MAMRA
77,272.6657,169.4649,0,34156,839.328,0.5849,0.9419,1.6413,1.609,0.7834,0.7323,36261.5,MAMRA
78,271.469,162.9344,0,33107,858.6417,0.572,0.9467,1.7721,1.6661,0.7999,0.7543,34971,MAMRA
79,264.4398,164.4355,0,32785,861.9554,0.5969,0.9472,1.8034,1.6082,0.7832,0.7332,34611,MAMRA
80,294.2205,0,105.0594,22444.5,1158.4234,0.3301,0.8308,4.7579,0,0,0.5338,27016.5,MAMRA
81,282.2064,0,94.9244,20324,844.9848,0.3249,0.8913,2.7956,0,0,0.6317,22802.5,MAMRA
82,251.1632,0,98.6053,18883.5,902.6833,0.3811,0.8839,3.4338,0,0,0.6155,21364,MAMRA
83,280.4701,0,96.6895,20579.5,993.1686,0.3331,0.8651,3.8142,0,0,0.5746,23788.5,MAMRA
84,285.2721,0,118.154,25419,846.1564,0.3977,0.9176,2.2415,0,0,0.6754,27703,MAMRA
85,266.674,126.2978,0,24585,924.8427,0.4402,0.8893,2.7686,2.1115,0.8807,0.6905,27645,MAMRA
86,274.1786,122.964,0,25086,936.1564,0.4249,0.8844,2.7801,2.2297,0.8938,0.6873,28365.5,MAMRA
87,280.6758,126.8577,0,25228.5,947.3696,0.4077,0.8593,2.831,2.2125,0.892,0.6787,29358.5,MAMRA
88,0,160.1206,102.3202,11695.5,848.198,0,0.7618,4.8951,0,0,0.5125,15352.5,MAMRA
89,0,161.7798,100.5295,12137.5,838.198,0,0.8123,4.6063,0,0,0.5861,14943,MAMRA
90,0,163.6335,96.6282,11636,706.4996,0,0.8009,3.4136,0,0,0.5818,14529,MAMRA
91,0,156.4853,111.1189,12217,806.9848,0,0.7672,4.2419,0,0,0.5263,15924.5,MAMRA
92,0,160.676,104.7425,13213,633.0437,0,0.9143,2.4135,0,0,0.6641,14452,MAMRA
93,0,163.8849,107.0036,13233.5,604.8011,0,0.8962,2.1996,0,0,0.6729,14766,MAMRA
94,0,166.486,106.356,13458,568.0732,0,0.8861,1.9082,0,0,0.586,15187.5,MAMRA
95,0,164.2203,109.0371,13682,588.0732,0,0.906,2.0114,0,0,0.643,15101.5,MAMRA
96,260.1318,130.7658,0,26441,689.6711,0.4975,0.9606,1.4315,1.9893,0.8645,0.7123,27525,MAMRA
97,261.9425,135.582,0,27501,716.4996,0.5103,0.9575,1.4855,1.932,0.8556,0.7174,28722.5,MAMRA
98,267.737,135.4477,0,28177,711.127,0.5005,0.9652,1.4282,1.9767,0.8626,0.7022,29193,MAMRA
99,259.2121,132.8079,0,26803,690.8427,0.5079,0.9648,1.417,1.9518,0.8588,0.7054,27780,MAMRA
100,0,236.1879,111.9619,20469.5,613.9726,0,0.9778,1.4655,0,0,0.7202,20933.5,MAMRA
101,0,238.0142,112.7362,20640.5,620.3158,0,0.9795,1.4835,0,0,0.7296,21072.5,MAMRA
102,0,239.5051,111.7571,20661,618.9016,0,0.9768,1.4753,0,0,0.727,21151,MAMRA
103,0,236.315,110.7116,20211,609.2447,0,0.9771,1.4615,0,0,0.7356,20684,MAMRA
104,402.1315,0,97.8754,29218,919.4701,0.2301,0.912,2.3026,0,0,0.6742,32036.5,MAMRA
105,397.1094,0,99.2188,29373.5,906.3991,0.2372,0.9236,2.2257,0,0,0.6795,31804.5,MAMRA
106,403.0807,0,99.8732,29784,913.6711,0.2334,0.9184,2.2304,0,0,0.6793,32431,MAMRA
107,404.2112,0,102.2392,30640.5,925.0853,0.2388,0.9284,2.2226,0,0,0.6901,33002,MAMRA
108,388.7499,0,122.9456,32712,918.2986,0.2756,0.8797,2.0514,0,0,0.6622,37187.5,MAMRA
109,393.3936,0,124.2059,33177,930.2986,0.273,0.8754,2.0759,0,0,0.6595,37899.5,MAMRA
110,400.7832,0,125.817,33532.5,939.3696,0.2658,0.8749,2.0941,0,0,0.6452,38327,MAMRA
111,395.371,0,126.8873,34252.5,946.5412,0.279,0.8758,2.0815,0,0,0.6621,39109,MAMRA
112,423.7042,249.306,0,76989,1156.1219,0.546,0.9872,1.3816,1.6995,0.8086,0.7709,77985.5,MAMRA
113,421.1377,245.0242,0,74828,1138.4651,0.5372,0.9878,1.3784,1.7188,0.8133,0.7731,75753.5,MAMRA
114,419.0295,247.6817,0,75504,1132.8082,0.5475,0.9881,1.3525,1.6918,0.8066,0.7767,76410.5,MAMRA
115,422.0526,245.0998,0,76308.5,1151.8793,0.5454,0.9872,1.3837,1.722,0.8141,0.7779,77298.5,MAMRA
116,425.2628,232.1969,0,73591,1123.2935,0.5181,0.9875,1.3644,1.8315,0.8378,0.7573,74525.5,MAMRA
117,421.1878,233.3481,0,73766,1127.2935,0.5294,0.9852,1.3709,1.805,0.8325,0.756,74877.5,MAMRA
118,423.4509,236.791,0,74697,1134.8082,0.5304,0.9863,1.3719,1.7883,0.829,0.7554,75735,MAMRA
119,418.5032,233.4476,0,73378.5,1125.0509,0.5334,0.986,1.3727,1.7927,0.83,0.757,74419,MAMRA
120,404.9291,227.3072,0,68665,1274.0042,0.5332,0.9445,1.881,1.7814,0.8276,0.7109,72703,MAMRA
121,410.6338,224.1677,0,69205.5,1363.0752,0.5226,0.9466,2.1364,1.8318,0.8378,0.7187,73110.5,MAMRA
122,411.6633,227.4603,0,69386.5,1425.8448,0.5213,0.9244,2.3316,1.8098,0.8335,0.7,75061.5,MAMRA
123,408.8067,223.8299,0,68719.5,1358.389,0.5235,0.9263,2.1368,1.8264,0.8368,0.6741,74186,MAMRA
124,405.0059,229.3797,0,69454,1454.9159,0.5391,0.9258,2.4253,1.7657,0.8242,0.7017,75017,MAMRA
125,411.8654,234.4481,0,71839,1490.0874,0.5392,0.9386,2.4595,1.7567,0.8222,0.701,76537.5,MAMRA
126,425.2083,230.4939,0,70533.5,1404.0458,0.4967,0.9358,2.2241,1.8448,0.8403,0.685,75374,MAMRA
127,420.8213,224.952,0,69768,1342.9747,0.5016,0.9462,2.0572,1.8707,0.8451,0.7317,73733.5,MAMRA
128,372.1202,0,99.2371,26546,1146.8671,0.2441,0.8251,3.9429,0,0,0.6345,32173.5,MAMRA
129,375.4606,0,106.5443,27738,1246.9504,0.2505,0.8134,4.4608,0,0,0.6153,34103,MAMRA
130,373.5823,0,103.2117,26655,1252.2641,0.2432,0.8145,4.6817,0,0,0.6286,32727.5,MAMRA
131,367.9319,0,107.0217,26923.5,1275.5361,0.2532,0.7882,4.8089,0,0,0.5694,34156.5,MAMRA
132,391.8165,0,100.219,29463.5,1026.1392,0.2444,0.8977,2.8439,0,0,0.6841,32822,MAMRA
133,390.1569,0,109.4072,31252,1177.1514,0.2614,0.8411,3.5284,0,0,0.6666,37158,MAMRA
134,389.0264,0,105.5921,30885,1105.8965,0.2598,0.8919,3.1512,0,0,0.6911,34627.5,MAMRA
135,395.6371,0,110.7043,32582,1177.1514,0.265,0.8574,3.3844,0,0,0.6938,38000.5,MAMRA
136,0,222.8657,104.7719,17731.5,853.9138,0,0.8814,3.2724,0,0,0.6455,20117.5,MAMRA
137,0,226.4783,105.3041,18597,883.4701,0,0.877,3.3399,0,0,0.6944,21206,MAMRA
138,0,237.4994,104.7969,19035.5,900.198,0,0.8778,3.3877,0,0,0.6613,21684.5,MAMRA
139,0,236.167,105.5229,18924,882.2986,0,0.8706,3.2735,0,0,0.6881,21736,MAMRA
140,0,229.184,112.8109,19927,731.73,0,0.9327,2.1382,0,0,0.692,21364,MAMRA
141,0,227.043,113.6241,19513.5,744.4579,0,0.9238,2.2601,0,0,0.6949,21123.5,MAMRA
142,0,225.3362,112.2731,19444,799.8721,0,0.9018,2.6185,0,0,0.6808,21562,MAMRA
143,0,222.5116,113.531,19485.5,734.6589,0,0.9374,2.2042,0,0,0.7119,20787,MAMRA
144,210.8766,0,104.4204,15519.5,602.9432,0.4444,0.8868,1.8641,0,0,0.6434,17501,MAMRA
145,209.8038,0,100.4425,15015,555.73,0.4343,0.9124,1.6368,0,0,0.6638,16457,MAMRA
146,202.964,0,100.0243,14783,559.2447,0.4569,0.9046,1.6836,0,0,0.6492,16342,MAMRA
147,210.9726,0,102.8513,15625.5,583.9726,0.447,0.8854,1.7368,0,0,0.6446,17647.5,MAMRA
148,0,152.775,92.291,10698.5,435.6051,0,0.9378,1.4114,0,0,0.7184,11408,MAMRA
149,0,153.7586,92.36,10535,435.1615,0,0.9399,1.4304,0,0,0.7266,11208.5,MAMRA
150,0,157.3853,96.0891,11345,449.1615,0,0.9364,1.4151,0,0,0.7252,12115.5,MAMRA
151,343.5399,0,105.0763,26839.5,804.1148,0.2896,0.9656,1.9171,0,0,0.6653,27796,MAMRA
152,350.0113,0,103.6854,27043,808.0143,0.2811,0.9727,1.9212,0,0,0.6701,27803,MAMRA
153,339.4784,0,106.6318,26586,799.8721,0.2937,0.9697,1.915,0,0,0.6646,27415.5,MAMRA
154,343.9906,0,105.4931,27019,809.328,0.2907,0.9689,1.9292,0,0,0.6584,27886,MAMRA
155,356.3232,0,103.7469,26189,816.2153,0.2626,0.9408,2.0243,0,0,0.6737,27835.5,MAMRA
156,353.8344,0,104.2856,26240,819.8721,0.2669,0.9375,2.0385,0,0,0.6731,27988.5,MAMRA
157,357.465,0,105.3183,27049,830.7006,0.2695,0.9402,2.0301,0,0,0.676,28768.5,MAMRA
158,353.3515,0,104.6877,26463,820.2153,0.2699,0.9366,2.0231,0,0,0.6749,28254,MAMRA
159,331.7162,172.401,0,44053,861.8965,0.5097,0.9877,1.3419,1.9241,0.8543,0.7785,44601.5,MAMRA
160,326.2458,173.2162,0,43411.5,933.796,0.5193,0.983,1.5984,1.8835,0.8474,0.7787,44160.5,MAMRA
161,333.1532,172.4451,0,44313.5,867.5118,0.5083,0.9885,1.3515,1.9319,0.8556,0.7762,44831,MAMRA
162,336.8123,175.8125,0,45697.5,878.8255,0.5129,0.9885,1.3449,1.9157,0.853,0.7818,46230.5,MAMRA
163,336.3669,175.0346,0,45044.5,879.3696,0.5069,0.9858,1.3661,1.9217,0.8539,0.7824,45695,MAMRA
164,330.5258,170.9654,0,43133.5,870.198,0.5027,0.9844,1.397,1.9333,0.8558,0.7743,43818.5,MAMRA
165,334.8356,172.0454,0,43866.5,865.0265,0.4982,0.9865,1.3574,1.9462,0.8579,0.785,44466.5,MAMRA
166,334.7091,174.6411,0,44789.5,901.8549,0.509,0.9839,1.4451,1.9166,0.8531,0.7827,45523,MAMRA
167,341.638,175.9486,0,47361,1254.7493,0.5167,0.9463,2.6454,1.9417,0.8572,0.7398,50046.5,MAMRA
168,341.1542,174.8997,0,46709.5,1209.6194,0.511,0.947,2.4928,1.9506,0.8586,0.7303,49325,MAMRA
169,341.8103,175.1204,0,46798.5,1166.6488,0.51,0.9494,2.3144,1.9519,0.8588,0.7324,49295,MAMRA
170,346.5945,177.4863,0,48539,1272.6905,0.5145,0.945,2.6555,1.9528,0.8589,0.7216,51366.5,MAMRA
171,292.4307,151.965,0,34558,916.0387,0.5145,0.9479,1.9323,1.9243,0.8544,0.6944,36457,MAMRA
172,296.7014,154.5389,0,35704,1042.3229,0.5164,0.9363,2.4215,1.9199,0.8536,0.6841,38132.5,MAMRA
173,299.2448,154.4637,0,35751,922.0975,0.5083,0.9508,1.8926,1.9373,0.8565,0.7332,37600.5,MAMRA
174,292.7868,153.2499,0,34909.5,982.8255,0.5185,0.9438,2.2019,1.9105,0.8521,0.7177,36987,MAMRA
175,340.9427,0,118.39,29782.5,1521.7859,0.3262,0.8206,6.1878,0,0,0.6329,36293.5,MAMRA
176,328.2048,0,118.5688,28215.5,1480.5311,0.3335,0.8232,6.1821,0,0,0.6446,34277,MAMRA
177,336.124,0,124.9127,30256.5,1250.992,0.341,0.8272,4.116,0,0,0.6084,36578,MAMRA
178,349.4904,0,116.6883,30646.5,1606.8986,0.3195,0.8212,6.7048,0,0,0.6435,37319,MAMRA
179,332.4623,0,122.3322,29539.5,1095.9382,0.3403,0.8873,3.2356,0,0,0.6671,33292,MAMRA
180,336.7044,0,117.4878,28801,1087.0092,0.3235,0.8756,3.2647,0,0,0.6864,32893.5,MAMRA
181,340.6083,0,116.6826,29556.5,1276.1636,0.3244,0.8652,4.3848,0,0,0.6441,34159.5,MAMRA
182,321.7034,0,116.3072,27414,1080.725,0.3373,0.8674,3.3904,0,0,0.658,31603.5,MAMRA
183,0,192.1457,181.8452,26724.5,662.3991,0,0.976,1.3065,0,0,0.7603,27383,MAMRA
184,0,196.2594,181.4137,27244.5,648.2569,0,0.977,1.2275,0,0,0.7588,27885,MAMRA
185,0,196.3345,181.053,27325.5,660.2569,0,0.9803,1.2695,0,0,0.7691,27875.5,MAMRA
186,0,198.1826,179.33,27385,637.1859,0,0.9834,1.1798,0,0,0.7708,27847,MAMRA
187,0,134.2321,78.6481,7940.5,375.9483,0,0.9362,1.4164,0,0,0.6995,8482,MAMRA
188,0,137.1667,83.106,8328.5,383.1198,0,0.9407,1.4025,0,0,0.704,8853.5,MAMRA
189,0,137.1117,82.352,8242,380.5341,0,0.9403,1.3981,0,0,0.7021,8765.5,MAMRA
190,0,137.9892,80.9384,8369,385.3625,0,0.9336,1.4121,0,0,0.6944,8964.5,MAMRA
191,428.4131,0,127.5508,41471,982.0143,0.2877,0.9806,1.8505,0,0,0.7624,42292,MAMRA
192,418.1598,0,125.1964,39940.5,966.7422,0.2908,0.976,1.8621,0,0,0.7643,40923,MAMRA
193,419.4358,0,124.9029,40262,979.4701,0.2914,0.9798,1.8962,0,0,0.7647,41093.5,MAMRA
194,420.8633,0,126.0096,40408.5,969.5706,0.2905,0.9784,1.8513,0,0,0.7559,41299.5,MAMRA
195,407.268,0,123.7745,38109.5,1145.1097,0.2925,0.9578,2.7381,0,0,0.7406,39788,MAMRA
196,368.3558,0,112.4278,31933,912.1564,0.2997,0.9557,2.0734,0,0,0.7457,33412.5,MAMRA
197,379.2747,0,114.1073,32176,914.4996,0.2848,0.9677,2.0684,0,0,0.7477,33251.5,MAMRA
198,378.2589,0,114.3819,32060,913.8133,0.2853,0.9676,2.0727,0,0,0.7363,33135,MAMRA
199,396.8769,185.8157,0,56122,1410.9159,0.4537,0.9187,2.8227,2.1359,0.8836,0.7068,61086.5,MAMRA
200,387.0879,180.4183,0,53525.5,1382.2468,0.4548,0.9063,2.8405,2.1455,0.8847,0.6848,59062,MAMRA
201,385.971,185.5988,0,55569,1593.6854,0.4749,0.908,3.6372,2.0796,0.8768,0.6983,61202,MAMRA
202,394.6738,186.7272,0,55473.5,1392.1879,0.4534,0.9137,2.7804,2.1136,0.881,0.7112,60710.5,MAMRA
203,412.4262,174.6795,0,54316,1732.9991,0.4066,0.9079,4.4001,2.361,0.9059,0.72,59827.5,MAMRA
204,386.0371,170.2897,0,51180.5,1684.8986,0.4373,0.8959,4.414,2.2669,0.8974,0.7302,57126,MAMRA
205,398.6034,164.8636,0,49610.5,1451.4184,0.3976,0.9073,3.3791,2.4178,0.9105,0.7425,54678,MAMRA
206,385.5924,166.0702,0,49214.5,1409.5605,0.4215,0.8957,3.2127,2.3219,0.9025,0.7234,54944,MAMRA
207,368.5302,0,93.654,25260.5,1461.9037,0.2368,0.8127,6.7326,0,0,0.5788,31080.5,MAMRA
208,364.9347,0,93.1771,25032.5,1440.5311,0.2393,0.8142,6.5968,0,0,0.5943,30744,MAMRA
209,355.4187,0,100.2313,26367,1307.9209,0.2658,0.8647,5.1629,0,0,0.5859,30491.5,MAMRA
210,0,158.1513,105.2556,11961.5,927.595,0,0.7963,5.7243,0,0,0.5538,15021,MAMRA
211,0,152.7335,110.5621,12860,1050.2641,0,0.7944,6.8257,0,0,0.5762,16188.5,MAMRA
212,0,151.0839,118.843,14363,831.9554,0,0.8538,3.8348,0,0,0.6242,16822.5,MAMRA
213,0,165.9203,117.6898,14803.5,826.3402,0,0.8398,3.6707,0,0,0.6384,17627,MAMRA
214,352.7924,171.2123,0,45282,904.2986,0.4632,0.9858,1.4371,2.0606,0.8743,0.7747,45933.5,MAMRA
215,354.868,171.2702,0,45496,903.6123,0.46,0.9847,1.4282,2.072,0.8758,0.7718,46201.5,MAMRA
216,357.3461,177.0231,0,47281,923.6123,0.4714,0.9855,1.4358,2.0186,0.8687,0.7722,47979,MAMRA
217,356.2899,176.9164,0,46781.5,919.7128,0.4692,0.9859,1.4389,2.0139,0.868,0.7754,47449.5,MAMRA
218,410.0601,200.2908,0,62256.5,1051.2519,0.4714,0.9879,1.4126,2.0473,0.8726,0.7706,63020,MAMRA
219,406.2211,194.7046,0,60374,1041.3524,0.4658,0.9872,1.4293,2.0863,0.8776,0.7741,61156.5,MAMRA
220,409.7942,197.3445,0,61898.5,1049.595,0.4693,0.9872,1.4163,2.0765,0.8764,0.77,62700,MAMRA
221,405.7,195.1634,0,60290.5,1039.1097,0.4664,0.9869,1.4252,2.0788,0.8767,0.7691,61091.5,MAMRA
222,0,146.4755,82.2668,9131,409.0193,0,0.9571,1.458,0,0,0.6617,9540.5,MAMRA
223,0,123.4414,68.5314,6574.5,348.4924,0,0.9446,1.47,0,0,0.6585,6960,MAMRA
224,0,154.4324,86.8517,10135.5,443.6051,0,0.9434,1.545,0,0,0.6572,10743.5,MAMRA
225,0,151.648,83.2412,9724.5,420.5757,0,0.9576,1.4475,0,0,0.6674,10155.5,MAMRA
226,0,151.3743,94.277,10354.5,444.2325,0,0.9144,1.5166,0,0,0.6495,11324,MAMRA
227,0,164.4574,94.9411,11660.5,474.3747,0,0.9129,1.5357,0,0,0.6531,12773.5,MAMRA
228,0,191.6828,115.5478,16045,557.3869,0,0.9128,1.5409,0,0,0.6521,17577.5,MAMRA
229,0,154.1751,97.0056,10723.5,449.061,0,0.9117,1.4965,0,0,0.6559,11762,MAMRA
230,182.271,0,76.1936,10772.5,475.9483,0.4128,0.9602,1.6734,0,0,0.6821,11219,MAMRA
231,200.8979,0,80.3422,12229.5,503.6051,0.3858,0.9657,1.6503,0,0,0.6836,12664.5,MAMRA
232,205.1167,0,81.312,12512.5,509.262,0.3787,0.9642,1.6494,0,0,0.6892,12976.5,MAMRA
233,227.5044,0,91.6566,15766,577.5046,0.3878,0.9624,1.6834,0,0,0.6894,16381.5,MAMRA
234,185.2895,0,77.867,10687.5,453.664,0.3964,0.9776,1.5324,0,0,0.7745,10932,MAMRA
235,190.2113,0,78.5954,11026,460.3919,0.388,0.9767,1.5298,0,0,0.76,11288.5,MAMRA
236,182.4718,0,76.8845,10633.5,453.3208,0.4066,0.9772,1.5379,0,0,0.7705,10882,MAMRA
237,183.6571,0,77.3348,10784.5,454.1493,0.4071,0.9788,1.5219,0,0,0.7612,11018.5,MAMRA
